requirement,implemented file,relevant line or section,automated test,status,notes
"Phase 6C verifies all 9880 raw checksums before and after and leaves the raw tree and legacy state unchanged","data/manifests/causal_grid_feasibility_source_snapshot.json","raw_checksum_before and after; raw_tree_before and after; legacy_state_before and after","CausalGridFeasibilityArtifactTests.test_source_checksums_raw_tree_memory_and_legacy_state_are_verified",implemented,"The 19761-file raw tree remained 2673762558 bytes with zero partials and the legacy HEAD tree and debug.log status were unchanged"
"Phase 6C makes zero API requests creates no raw file leaves raw outside Git and executes no downstream research","data/manifests/causal_grid_feasibility_summary.json; data/manifests/causal_grid_feasibility_source_snapshot.json","execution_flags; api_request_count; new_raw_file_count","CausalGridFeasibilityArtifactTests.test_no_network_raw_git_or_downstream_execution_and_no_partial_outputs",implemented,"No Protocol v1.2 rule cohort freeze split normalization persistence Cp/Ce dose prediction feature selection or PPO step was performed"
"Phase 6C fixed-seed boundary samples are bounded and do not alter inclusion or exclusion","data/manifests/causal_grid_boundary_review.csv; data/manifests/causal_grid_feasibility_summary.json","seed 20260720; boundary category counts","CausalGridFeasibilityArtifactTests.test_boundary_samples_are_fixed_seed_bounded_and_non_decisional",implemented,"At most five IDs are shown for each nonempty requested category and zero-count categories remain explicit in the summary"
"Phase 6C published artifacts and report retain the decision boundary and verified checksums","data/manifests/causal_grid_feasibility_artifact_checksums.json; docs/causal_grid_window_feasibility_report.md","eleven-artifact checksum inventory; Decision boundary","CausalGridFeasibilityArtifactTests.test_report_and_artifact_checksum_inventory_match",implemented,"No Protocol v1.2 rule cohort freeze split normalization persistence Cp/Ce dose prediction feature selection or PPO step was performed"
"Protocol v1.2 freezes exactly the approved Phase 6C candidate and 120-window rule","src/vitaldb_state_selection/cohort/protocol_v1_2.py; data/manifests/protocol_v1_2_cohort_freeze.json","SELECTED_CANDIDATE_ID; MINIMUM_USABLE_WINDOWS; selected preprocessing parameters","ProtocolV12ArtifactTests.test_freeze_json_pins_protocol_candidate_threshold_and_manifest",implemented,"The selected candidate is sqi_ge_50__bis20s__drug60s and no Phase 6B scenario or alternative candidate controls eligibility"
"The final Protocol v1.2 manifest accounts for all 2470 source cases as 2460 eligible and 10 excluded","data/manifests/final_eligible_cohort_manifest.csv; data/manifests/final_cohort_accounting_summary.json","final eligibility and exclusion_reason accounting","ProtocolV12ArtifactTests.test_final_manifest_has_exact_2470_2460_10_accounting",implemented,"Every case appears once and eligibility is equivalent to at least 120 usable windows under the selected candidate"
"The frozen eligible and excluded ID lists are checksum-pinned and deterministic","data/manifests/final_eligible_caseids.csv; data/manifests/final_ineligible_caseids.csv; src/vitaldb_state_selection/cohort/protocol_v1_2.py","EXPECTED_ELIGIBLE_IDS_SHA256; sorted case ID checksums","ProtocolV12ArtifactTests.test_final_id_lists_match_manifest_and_pinned_checksums",implemented,"Eligible ID checksum f2c140ccf150648c2d4f46029849f325742e58eaf16ecb30efa05299384fb9bd protects the frozen cohort from silent regeneration"
"Legacy-overlap volatile-excluded and invalid-window cases cannot reenter the final eligible cohort","data/manifests/final_eligible_cohort_manifest.csv; data/manifests/pre_quality_acquisition_cohort.csv","inherited overlap flags and final eligible IDs","ProtocolV12ArtifactTests.test_inherited_legacy_volatile_and_invalid_window_exclusions_cannot_reenter",implemented,"All three overlap counts are zero and invalid-window case 4476 is absent"
"Demographic feasibility and warning fields are preserved without adding clinical-plausibility exclusions","data/manifests/final_eligible_cohort_manifest.csv","all_four_demographics_present; schnider_minto_basic_input_feasible; warning fields","ProtocolV12ArtifactTests.test_demographic_feasibility_and_warnings_are_preserved_not_new_cutoffs",implemented,"No Schnider Minto parameter lean-body-mass value or demographic cutoff is calculated"
"Every excluded case retains all applicable contributing availability flags rather than one priority reason","data/manifests/final_ineligible_caseids.csv; data/manifests/final_eligible_cohort_manifest.csv","contributing_* columns","ProtocolV12ArtifactTests.test_excluded_cases_preserve_all_contributing_flags",implemented,"Zero-grid zero-window BIS history target propofol and remifentanil conditions remain separately machine readable"
"Unselected SQI BIS-staleness drug-hold and minimum-window alternatives remain count-only sensitivity references","data/manifests/protocol_v1_2_sensitivity_reference.csv","13 Phase 6C-linked robustness rows","ProtocolV12ArtifactTests.test_sensitivity_counts_are_exact_phase6c_links_not_additional_freezes",implemented,"Every alternative count is copied from the versioned Phase 6C sensitivity table and final_cohort remains false"
"Protocol v1.2 distinguishes fact human decision and interpretation and records why stricter alternatives were not selected","docs/protocol_v1_2_decision_record.md","Fact; Human decision; Interpretation; selected BIS SQI drug and minimum-window sections","ProtocolV12ArtifactTests.test_protocol_record_separates_fact_decision_interpretation_and_reasons",implemented,"The record explicitly states that no test outcome target distribution model result or prediction metric informed the decision"
"Phase 6D reads versioned artifacts only and performs no raw API split model CpCe feature selection or PPO work","data/manifests/protocol_v1_2_source_snapshot.json; data/manifests/final_cohort_accounting_summary.json","raw_signal_file_open_count; execution_flags; prohibited_execution","ProtocolV12ArtifactTests.test_source_snapshot_proves_artifact_only_scope_and_no_downstream_execution",implemented,"Raw tree and legacy state match before and after while SQI remains outside the feature universe and BIS 0-10 remains admissible"
"Phase 6D source lineage artifact hashes raw Git exclusion and nine output checksums are independently verified","data/manifests/protocol_v1_2_source_snapshot.json; data/manifests/protocol_v1_2_artifact_checksums.json","input_artifact_sha256; artifact inventory; Phase 6C source commit","ProtocolV12ArtifactTests.test_source_checksums_lineage_raw_git_and_artifact_checksums",implemented,"The test confirms Phase 6C ancestry all source hashes all published artifact hashes and zero raw files in the Git index"
"The Protocol v1.2 production entry point has no network raw parser or modeling capability","scripts/freeze_protocol_v1_2_cohort.py","artifact-only imports and source boundary","ProtocolV12ArtifactTests.test_phase6d_entrypoint_has_no_network_raw_parser_or_model_capability",implemented,"No requests VitalDB API raw observation parser sklearn or torch capability exists in the entry point"
"Phase 7A accounts for all 2460 frozen eligible cases with one nonmissing subjectid and no ambiguous case mapping","data/manifests/subject_linkage_case_manifest.csv; data/manifests/subject_linkage_summary.json","2460 complete case rows; missing parsing duplicate and ambiguity counts","SubjectLinkageArtifactTests.test_complete_2460_case_to_subject_linkage_is_unambiguous",implemented,"The final ten ineligible cases have zero overlap and the source eligible checksum remains pinned"
"Phase 7A preserves subject clusters without creating train validation or test membership","data/manifests/subject_level_cluster_summary.csv; data/manifests/subject_linkage_case_manifest.csv","split_created false and assigned_split blank on every row","SubjectLinkageArtifactTests.test_no_split_membership_or_seal_exists",implemented,"No provisional split ID list or test seal exists"
"Subject cluster accounting and repeated-case distribution are complete and machine readable","data/manifests/subject_linkage_summary.json; data/manifests/repeated_subject_distribution.csv","2415 subjects; cluster size counts; 82 repeated-subject cases; maximum 9","SubjectLinkageArtifactTests.test_subject_accounting_and_cluster_distribution_are_exact",implemented,"The report contains aggregate counts while exact subject IDs remain only in versioned manifests"
"Within-subject sex consistency is warning-only and time-varying metadata never changes linkage","data/manifests/within_subject_metadata_consistency.csv","sex warning and age height weight BMI ASA emergency operation summaries","SubjectLinkageArtifactTests.test_within_subject_consistency_is_descriptive_only",implemented,"No age or weight variation is treated as evidence of linkage error"
"Patient-level split feasibility is cluster-size count-only and creates no allocation","data/manifests/patient_level_split_feasibility_summary.json","nearest case and subject targets; arithmetic feasibility; assigned split count zero","SubjectLinkageArtifactTests.test_count_only_feasibility_has_no_membership",implemented,"Exact arithmetic feasibility is descriptive and does not select an objective or membership"
"Future patient allocation must move every subject with all case-level marginal contributions","data/manifests/patient_level_balance_variable_definitions.json; data/manifests/alternative_split_objective_comparison.csv","six case-level variables and three unselected objectives","SubjectLinkageArtifactTests.test_metadata_inventory_preserves_case_level_contributions",implemented,"Subjects are not collapsed to one operation type or mean ASA and alternatives A B C remain unselected"
"Phase 7A source lineage and prohibited-execution flags are checksum verified","data/manifests/subject_linkage_source_snapshot.json","source hashes; raw and legacy before-after states; zero execution flags","SubjectLinkageArtifactTests.test_source_checksums_and_prohibited_execution_flags",implemented,"No outcome raw API split test seal modeling array or preprocessing fit occurred"
"All ten Phase 7A report and machine-readable artifacts are checksum inventoried","data/manifests/subject_linkage_artifact_checksums.json; docs/phase7a_subject_linkage_audit_report.md","ten artifact hashes and explicit Phase 7B stop boundary","SubjectLinkageArtifactTests.test_artifact_checksums_and_report_boundary",implemented,"The report lists no full subject-ID inventory and does not authorize Phase 7B"
"The Phase 7A production entry point has no raw API or modeling capability","scripts/run_subject_linkage_audit.py","artifact-only imports and metadata source whitelist","SubjectLinkageArtifactTests.test_production_entrypoint_has_no_raw_api_or_model_capability",implemented,"Raw tree metadata is checked without opening signal payloads"
"Protocol v1.3 preserves the frozen Protocol v1.2 cohort and subject linkage","data/manifests/protocol_v1_3_source_snapshot.json","upstream_validation and pinned checksums","ProtocolV13ArtifactTests.test_protocol_v1_2_cohort_and_subject_checksums_are_unchanged",implemented,"The confirmatory scope revision does not reopen the 2460-case 2415-subject cohort"
"P0 and P1 each link all frozen cases without reintroducing the ten exclusions","data/manifests/protocol_v1_3_source_snapshot.json","phase6c_connection","ProtocolV13ArtifactTests.test_phase6c_p0_p1_connection_is_complete_without_reinclusion",implemented,"Both exact candidates retain their complete 2470-row Phase 6C accounting while the execution universe remains frozen"
"P0 and P1 use the exact approved causal preprocessing bundles","data/manifests/protocol_v1_3_p0_preprocessing.json; data/manifests/protocol_v1_3_p1_preprocessing.json; data/manifests/protocol_v1_3_preprocessing_comparison.csv","candidate IDs and three bundle differences","ProtocolV13ArtifactTests.test_exact_preprocessing_schemas_and_bundle_only_comparison",implemented,"No SQI-only BIS-staleness-only or drug-hold-only ablation is defined"
"SQI is absent from both conceptual PPO states and S1 is a strict superset of S0","data/manifests/protocol_v1_3_s0_state_schema.json; data/manifests/protocol_v1_3_s1_state_schema.json","state feature lists","ProtocolV13ArtifactTests.test_s0_is_strict_subset_of_s1_and_sqi_is_absent",implemented,"BMI is not duplicated and the eight S1 additions are conceptual only"
"Missing-observation encoding is not claimed as implemented","data/manifests/protocol_v1_3_missing_observation_audit.json","status and implementation_authorized","ProtocolV13ArtifactTests.test_missing_encoding_is_not_overclaimed_and_simulator_is_not_ready",implemented,"BIS zero and drug-rate zero remain valid while mask age and placeholder choices require human review"
"Simulator observation-quality feasibility is explicitly audited before PPO","data/manifests/protocol_v1_3_simulator_observation_feasibility.json","eight audit questions and overall status","ProtocolV13ArtifactTests.test_missing_encoding_is_not_overclaimed_and_simulator_is_not_ready",implemented,"A new replay or corruption layer is required and Protocol v1.3 is not implementation-ready"
"Four separately initialized PPO policy conditions are specified with invariant common design","data/manifests/protocol_v1_3_four_policy_spec.json; data/manifests/protocol_v1_3_ppo_invariance_spec.json","four conditions and equality constraints","ProtocolV13ArtifactTests.test_four_policies_and_ppo_invariance_are_complete_but_unimplemented",implemented,"Architecture budget reward and action-bound values remain pending human review and no PPO is authorized"
"The 80/20 subject split and seeds are planned without membership or seal","data/manifests/protocol_v1_3_planned_subject_split.json; data/manifests/protocol_v1_3_seed_protocol.json","1932 and 483 target counts; seeds 42 and 7 42 84","ProtocolV13ArtifactTests.test_planned_split_and_seed_protocol_create_no_membership_or_seal",implemented,"Allocation algorithm and balance objective remain pending and no ID list exists"
"Control outcomes and repeated-measures statistics are prespecified without execution","data/manifests/protocol_v1_3_control_outcomes.json; data/manifests/protocol_v1_3_statistical_analysis_plan.json","primary secondary and analysis fields","ProtocolV13ArtifactTests.test_outcomes_and_statistics_are_plans_not_results",implemented,"No control metric statistical test or reward comparison was calculated"
"Prediction-driven state selection is outside Protocol v1.3 confirmatory scope","data/manifests/protocol_v1_3_prediction_scope_deprecation.csv; docs/protocol_v1_3_scope_revision_decision_record.md","nine deprecated confirmatory items","ProtocolV13ArtifactTests.test_prediction_scope_is_deprecated_and_implementation_audit_is_explicit",implemented,"Historical code and documents are retained but cannot select the confirmatory state"
"Current and legacy control implementation interfaces are classified without artifact reuse","data/manifests/protocol_v1_3_implementation_audit.csv; data/manifests/protocol_v1_3_source_snapshot.json","implementation categories and allowlisted legacy blobs","ProtocolV13ArtifactTests.test_source_snapshot_proves_no_raw_outcome_split_or_model_execution",implemented,"Rejected configs checkpoints splits scalers selected features metrics and results were not read"
"Phase 7B performs no raw outcome split model prediction or PPO execution","data/manifests/protocol_v1_3_source_snapshot.json; docs/phase7b_control_design_report.md","zero access and execution flags","ProtocolV13ArtifactTests.test_source_snapshot_proves_no_raw_outcome_split_or_model_execution",implemented,"The production entry point is artifact-only and leaves the legacy repository unchanged"
"All Phase 7B design artifacts are checksum inventoried with an explicit claim boundary","data/manifests/protocol_v1_3_artifact_checksums.json; docs/phase7b_control_design_report.md","21 checksummed artifacts","ProtocolV13ArtifactTests.test_artifact_checksums_and_report_claim_boundary",implemented,"The report states that the design is not implementation-ready and no excluded case may re-enter"
"Legacy PPO simulator environment and supporting components are classified by executable evidence","data/manifests/phase7c_component_reuse_audit.csv; docs/phase7c_ppo_simulator_reuse_audit.md","component classifications and bounded probe criteria","Phase7CReuseAuditTests.test_reuse_classifications_are_closed_and_not_overclaimed",implemented,"Only the simulator and PK-PD model passed import initialization and a synthetic step in the current environment"
"Phase 7C source and probe evidence is versioned without raw or checkpoint access","data/manifests/phase7c_source_snapshot.json; scripts/audit_phase7c_reuse.py","legacy commit tree source checksums and execution flags","Phase7CReuseAuditTests.test_source_snapshot_records_expected_probe_boundary",implemented,"The environment and PPO dependency failures remain explicit and no dependency was installed"
"Missing encoding options are compared without human approval being inferred","data/manifests/phase7c_missing_encoding_options.csv; docs/phase7c_observation_quality_minimum_plan.md","Options A B C and pending statuses","Phase7CReuseAuditTests.test_missing_encoding_options_remain_pending",implemented,"Option C is only recommended_pending_human_approval and no encoder is part of the phase commit"
"Drug-rate retrospective alignment is not transferred into online control without evidence","docs/phase7c_drug_rate_semantics_report.md; docs/phase7c_observation_quality_minimum_plan.md","retrospective_only_not_valid_for_online_control conclusion","Phase7CReuseAuditTests.test_audit_utility_is_read_only_and_bounded",implemented,"Propofol action and exogenous remifentanil schedule are controller-known in the inspected legacy environment"
"Phase 7C creates no split checkpoint or research execution output","docs/phase7c_ppo_simulator_reuse_audit.md; data/manifests/phase7c_source_snapshot.json","scope boundary and false execution flags","Phase7CReuseAuditTests.test_phase7c_does_not_make_research_outputs",implemented,"Out-of-scope scaffold changes created before scope correction are excluded from staging and reported"
"Protocol v1.3.1 preserves the frozen 2460-case 2415-subject cohort and source remote","data/manifests/protocol_v1_3_1_source_snapshot.json; docs/protocol_v1_3_1_amendment_decision_record.md","source remote and upstream checksum fields","ProtocolV131ArtifactTests.test_source_remote_upstream_and_cohort_are_fixed",implemented,"No split or cohort regeneration occurs"
"Online P0 and P1 differ only by the bundled SQI and BIS freshness rules","data/manifests/protocol_v1_3_1_p0_online_schema.json; data/manifests/protocol_v1_3_1_p1_online_schema.json; data/manifests/protocol_v1_3_1_preprocessing_distinction.csv","online schema fields and retrospective distinction","ProtocolV131ArtifactTests.test_online_pipelines_have_only_bundled_bis_difference",implemented,"No component ablation is defined"
"Retrospective drug hold caps are removed from the online controller contract","docs/protocol_v1_3_1_retrospective_vs_online.md; data/manifests/protocol_v1_3_1_preprocessing_distinction.csv","Drug-rate hold row","ProtocolV131ArtifactTests.test_retrospective_ids_are_preserved_but_not_online_ids",implemented,"Both pipelines use identical internal applied drug histories"
"Option B-minimal is selected for BIS without adding a no-prior state channel","data/manifests/protocol_v1_3_1_missing_encoding_decision.json; docs/protocol_v1_3_1_amendment_decision_record.md","missing encoding decision","ProtocolV131ArtifactTests.test_option_b_state_contract_and_zero_semantics",implemented,"The numeric fixed age cap remains pending before implementation and is not inferred"
"Amended S0 and S1 have 34 and 42 conceptual fields without numeric SQI","data/manifests/protocol_v1_3_1_s0_state_schema.json; data/manifests/protocol_v1_3_1_s1_state_schema.json","conceptual dimensions and feature lists","ProtocolV131ArtifactTests.test_s0_s1_dimensions_and_sqi_exclusion",implemented,"Physical tensor dimension awaits a sex encoding contract and no adapter is implemented"
"Future observation templates are timing and SQI-pattern contracts without raw BIS extraction","data/manifests/protocol_v1_3_1_observation_template_contract.json","included excluded and execution fields","ProtocolV131ArtifactTests.test_template_contract_is_outcome_blind_and_not_extracted",implemented,"Reward and scientific outcomes remain latent-true-BIS based"
"Excluded scaffold paths are recoverably backed up and selectively removed","docs/phase7d_excluded_scaffold_backup_verification.md; data/manifests/protocol_v1_3_1_source_snapshot.json","backup identifier checksums counts and verification","ProtocolV131ArtifactTests.test_backup_summary_is_recoverable_without_absolute_path",implemented,"The external backup is not committed and no local absolute path is recorded"
"Laboratory-code Path A handoff is prepared without dependency installation or PPO execution","docs/phase7d_lab_code_handoff.md; docs/phase7d_lab_request_ko.md; data/manifests/protocol_v1_3_1_lab_handoff_checklist.csv","closed handoff statuses and request draft","ProtocolV131ArtifactTests.test_lab_handoff_uses_closed_statuses_and_has_korean_draft",implemented,"Path B remains fallback and Path C is not approved"
"Protocol v1.3.2 retires unavailable laboratory-code Path A and adopts paper-grounded independent reconstruction","docs/protocol_v1_3_2_amendment_decision_record.md; src/vitaldb_state_selection/cohort/protocol_v1_3_2.py","Authority correction and implementation authority","ProtocolV132ArtifactTests.test_reports_retire_path_a_without_modifying_v131",implemented,"The historical Protocol v1.3.1 record remains unchanged; no laboratory handoff is expected"
"Public source authority follows Yun 2023 cited primary sources Yun 2024 auxiliary evidence and read-only legacy reference in that order","data/manifests/protocol_v1_3_2_source_registry.json; data/manifests/protocol_v1_3_2_reconstruction_evidence.csv","priority and source-location fields","ProtocolV132ArtifactTests.test_source_registry_uses_primary_sources_and_correct_dois",implemented,"Undisclosed values require human approval and legacy artifacts are not authority"
"The reconstruction inventory records every requested PKPD environment and PPO item with a closed evidence classification","data/manifests/protocol_v1_3_2_reconstruction_evidence.csv","90 versioned evidence rows","ProtocolV132ArtifactTests.test_required_pkpd_environment_and_ppo_items_are_present",implemented,"Classification validates documentary completeness not scientific truth"
"All h1 through h17 and f1 through f18 values are represented exactly once and conflicts remain explicit","data/manifests/protocol_v1_3_2_reconstruction_evidence.csv","CONST-H01 through CONST-H17 and CONST-F01 through CONST-F18","ProtocolV132ArtifactTests.test_all_h_and_f_constants_are_exactly_once",implemented,"LBM h18/f18 f12 remifentanil units action units and noise are not silently resolved"
"Every missing constant records publication status library default legacy candidate recommendation sensitivity risk and pending approval","data/manifests/protocol_v1_3_2_missing_constants.csv","MC-001 through MC-034","ProtocolV132ArtifactTests.test_missing_constant_register_has_all_required_decision_fields",implemented,"SB3 defaults and legacy candidates are labeled references rather than Yun values or approved settings"
"The six reconstruction stages are ordered and independently gated before any split or training","data/manifests/protocol_v1_3_2_implementation_sequence.json","Stages I through VI","ProtocolV132ArtifactTests.test_sequence_has_six_ordered_unexecuted_gated_stages",implemented,"Stage III prefers library PPO and Stage V cannot precede synthetic scientific validation"
"Synthetic scientific validation is prespecified without execution or clinical claims","data/manifests/protocol_v1_3_2_scientific_validation_plan.json; docs/phase7e_paper_grounded_reconstruction_specification.md","six validation groups and claim boundary","ProtocolV132ArtifactTests.test_validation_plan_is_synthetic_planning_only",implemented,"No paper figure reproduction laboratory reproduction or patient dosing claim is made"
"Phase 7E creates no simulator environment PPO implementation dependency split raw access modeling array training or evaluation","data/manifests/protocol_v1_3_2_source_snapshot.json; src/vitaldb_state_selection/cohort/protocol_v1_3_2.py","false execution flags and specification-only outputs","ProtocolV132ArtifactTests.test_no_implementation_dependency_split_raw_or_ppo_execution",implemented,"Frozen cohort remains 2460 cases and 2415 subjects and prediction remains out of scope"
"Phase 7E content artifacts are versioned with checksums","data/manifests/protocol_v1_3_2_artifact_checksums.json","content artifact inventory","ProtocolV132ArtifactTests.test_artifact_checksum_manifest",implemented,"The checksum inventory excludes itself and status-only publication metadata"
"Phase 7E records source hashes and confirms legacy read-only reference without reuse","data/manifests/protocol_v1_3_2_source_snapshot.json","source hashes and legacy snapshot","ProtocolV132ArtifactTests.test_legacy_snapshot_is_unchanged_and_no_artifact_reused",implemented,"External public PDFs are hashed but not copied into Git"
"Phase 7F records exactly MC-001 through MC-009 as Stage I approvals while MC-010 through MC-034 remain pending","data/manifests/phase7f_stage_i_human_decisions.json; docs/phase7f_stage_i_decision_record.md","approved_decisions and still_pending_ids","Phase7FArtifactTests.test_mc001_to_mc009_are_approved_and_mc010_to_mc034_remain_pending",implemented,"The approval does not extend to environment observation reward action split or PPO decisions"
"Stage I constants units and approved typography corrections are versioned and match executable registries","data/manifests/phase7f_pkpd_constant_registry.json; data/manifests/phase7f_pkpd_unit_contract.json; src/vitaldb_state_selection/pkpd/registry.py","registry phase7f-pkpd-v1","Phase7FArtifactTests.test_constant_and_unit_registries_match_implementation",implemented,"Propofol and remifentanil retain distinct mass and concentration units"
"Every implemented Stage I equation has primary-source evidence human-decision and implementation provenance","data/manifests/phase7f_pkpd_equation_provenance.csv","EQ-001 through EQ-009","Phase7FArtifactTests.test_equation_provenance_is_complete_and_legacy_free",implemented,"No legacy path supplies an implementation file"
"Patient covariates and the James Schnider and Minto equations are validated deterministically","src/vitaldb_state_selection/pkpd/profiles.py; src/vitaldb_state_selection/pkpd/parameters.py","PatientProfile and parameter functions","PKPDParameterTests.test_parameters_are_finite_physiologically_signed_and_deterministic",implemented,"Sex is the published LBM equation category and not the pending PPO tensor encoding"
"Constant infusions use exact zero-order-hold transitions and agree with a high-accuracy independent ODE comparison","src/vitaldb_state_selection/pkpd/dynamics.py; data/manifests/phase7f_pkpd_validation_summary.json","augmented matrix exponential and numerical errors","PKPDDynamicsTests.test_exact_transition_matches_high_accuracy_solve_ivp",implemented,"The comparison solver is validation-only and Forward Euler is not an acceptance method"
"The dual-drug core is immutable causal and dynamically independent before deterministic BIS interaction","src/vitaldb_state_selection/pkpd/core.py; src/vitaldb_state_selection/pkpd/bis.py","advance contract and response function","PKPDCoreTests.test_no_future_input_access_and_drugs_are_independent_before_bis",implemented,"No noise drop clipping action adapter reward or environment path exists"
"Every public transition value and infusion argument identifies its physical unit in the field or parameter name","src/vitaldb_state_selection/pkpd/core.py; data/manifests/phase7f_pkpd_unit_contract.json","SimulationTransition dataclass and DualDrugSimulator.advance signature","PKPDCoreTests.test_public_transition_fields_and_advance_arguments_encode_units",implemented,"Generic amount-state objects remain private implementation details"
"The remifentanil unit contract catches a deliberate thousand-fold scale regression","tests/test_pkpd_dynamics.py; data/manifests/phase7f_pkpd_validation_summary.json","unit regression ratio","PKPDDynamicsTests.test_units_and_deliberate_thousand_fold_remifentanil_error",implemented,"The public infusion arguments name mg/min and microgram/min explicitly"
"Phase 7F validation uses exactly three fixed synthetic profiles without subject identifiers","data/manifests/phase7f_synthetic_profiles.json; data/manifests/phase7f_pkpd_validation_summary.json","three synthetic profile rows","Phase7FArtifactTests.test_synthetic_profiles_are_fixed_and_have_no_subject_identifiers",implemented,"Profiles are engineering references and not patients or clinical standards"
"The sole Stage I sensitivity is the closed nondefault Minto f12 0.030 numerical comparison","data/manifests/phase7f_f12_sensitivity_config.json; data/manifests/phase7f_pkpd_validation_summary.json","primary and sensitivity_only","Phase7FArtifactTests.test_f12_sensitivity_is_closed_nondefault_and_numerical_only",implemented,"Primary f12 remains 0.0301 and no other sensitivity is implemented"
"Phase 7F preserves cohort protocol dependency and legacy state while prohibiting all downstream work","data/manifests/phase7f_source_snapshot.json; docs/phase7f_report.md","source hashes execution flags and legacy snapshot","Phase7FArtifactTests.test_source_lineage_cohort_dependency_and_legacy_state_are_unchanged",implemented,"No raw subject split test-seal environment PPO model checkpoint training or evaluation artifact is created"
"Phase 7F reports and artifacts are research-only and checksum-versioned","docs/phase7f_pkpd_scientific_validation_report.md; data/manifests/phase7f_artifact_checksums.json","claim boundary and content inventory","Phase7FArtifactTests.test_artifact_checksum_manifest",implemented,"No clinical safety dosing or exact unpublished-code reproduction claim is made"
"Phase 7G records only MC-010 through MC-018 and MC-031 through MC-032 as scoped Stage II approvals","data/manifests/phase7g_stage_ii_human_decisions.json","approved_decisions and still_pending_ids","Phase7GArtifactTests.test_human_decisions_have_exact_approved_and_pending_ids",implemented,"MC-019 through MC-030 MC-033 and MC-034 remain pending"
"P0 and P1 process BIS causally with exact SQI and distinct inclusive staleness rules","src/vitaldb_state_selection/anesthesia/observation.py","BISObservationProcessor","ObservationProcessorTests.test_p0_ignores_sqi_but_p1_requires_exact_sqi",implemented,"No nearest SQI interpolation smoothing or future event access"
"Physical propofol actions are finite clipped once and converted from mg per 10 seconds to mg per minute","src/vitaldb_state_selection/anesthesia/action.py; data/manifests/phase7g_action_contract.json","apply_propofol_action","ActionRewardTests.test_action_bounds_and_conversion",implemented,"No normalized action wrapper"
"Synthetic remifentanil changes split intervals for exact zero-order-hold transitions","src/vitaldb_state_selection/anesthesia/schedule.py; src/vitaldb_state_selection/anesthesia/core.py","right-continuous schedule and step partition","EnvironmentTests.test_piecewise_schedule_exact_endpoint",implemented,"No VitalDB drug schedule is accessed"
"S0 and S1 have exact dimensions with S0 as the strict S1 prefix","src/vitaldb_state_selection/anesthesia/state.py; data/manifests/phase7g_s0_state_schema.json; data/manifests/phase7g_s1_state_schema.json","S0_FIELDS and S1_FIELDS","Phase7GArtifactTests.test_state_schemas_are_exact_and_prefix_preserving",implemented,"SQI reason codes and target BIS are excluded from vectors"
"Four conditions preserve the same latent trajectory reward and applied action","src/vitaldb_state_selection/anesthesia/core.py; data/manifests/phase7g_four_condition_configs.json","P0S0 P1S0 P0S1 P1S1","EnvironmentTests.test_four_condition_latent_reward_action_invariance",implemented,"Observation visibility and dimension may differ without episode deletion"
"Phase 7G validation is synthetic-only and makes no control-performance claim","data/manifests/phase7g_synthetic_validation_scenarios.json; docs/phase7g_stage_ii_validation_report.md","five fixed synthetic scenarios","Phase7GArtifactTests.test_four_configs_and_validation_scenarios",implemented,"No patient profile template outcome evaluation or statistics"
"Phase 7G preserves dependencies cohort legacy state and prohibited execution boundaries","data/manifests/phase7g_source_snapshot.json","input hashes legacy snapshots and execution_flags","Phase7GArtifactTests.test_source_snapshot_preserves_boundaries_and_dependency_hash",implemented,"No raw subject split test seal PPO checkpoint training or evaluation"
"Phase 7G artifacts are checksum-versioned","data/manifests/phase7g_artifact_checksums.json","content artifact inventory","Phase7GArtifactTests.test_artifact_checksum_manifest",implemented,"Checksum inventory excludes itself and publication-only status metadata"
"Phase 7H direct RL dependencies are isolated and exactly pinned","requirements/phase7h_rl_direct.txt; requirements/phase7h_rl_lock.txt; data/manifests/phase7h_runtime_environment.json","direct pins resolved lock and runtime versions","Phase7HArtifactTests.test_direct_dependencies_are_exact_and_only_approved_rl_packages",implemented,"The ignored local venv is not committed and pyproject is unchanged"
"MC-019 through MC-029 and MC-034 are approved only for Stage III candidate and smoke integration","data/manifests/phase7h_human_decisions.json","approved_scoped_ids and still_pending_ids","Phase7HArtifactTests.test_approved_and_pending_mc_ids_are_exact",implemented,"MC-030 and MC-033 remain pending"
"The Gymnasium adapter composes the Phase 7G core with exact observation and physical action contracts","src/vitaldb_state_selection/rl_integration/adapter.py; src/vitaldb_state_selection/rl_integration/factory.py","GymnasiumAnesthesiaEnv and factory","Phase7HRLIntegrationTests.test_adapter_matches_direct_core_without_duplicate_clipping",implemented,"Scientific transition code is not duplicated and normal actions do not invoke core clipping"
"All four conditions pass Gymnasium SB3 DummyVecEnv and initialization interfaces","data/manifests/phase7h_adapter_validation_summary.json","four condition rows and classified warnings","Phase7HRLIntegrationTests.test_gymnasium_and_sb3_checkers_all_four",implemented,"Normalized-action recommendations are expected harmless because physical actions are required"
"Scientific candidate and bounded smoke configurations remain separately versioned","data/manifests/phase7h_scientific_ppo_candidate.json; data/manifests/phase7h_smoke_ppo_configuration.json","two configuration IDs","Phase7HArtifactTests.test_candidate_and_smoke_manifests_remain_separate",implemented,"Candidate configuration was not trained"
